Data set from Draper and Smith (1981), I cannot find the page
x: average level of aflatoxin (parts per billion)
y: proportion of non-contaminated peanuts in 34 batches of peanuts in a sample of 120 pounds. 

y	x
0.99971	3
0.99942	18.8
0.99863	46.8
0.99979	4.7
0.99932	18.9
0.99811	46.8
0.99982	8.3
0.99908	21.7
0.99877	58.1
0.99971	9.3
0.9997	21.9
0.99798	62.3
0.99957	9.9
0.99985	22.8
0.99855	70.6
0.99961	11
0.99933	24.2
0.99788	71.1
0.99956	12.3
0.99858	25.8
0.99821	71.3
0.99972	12.5
0.99987	30.6
0.9983	83.2
0.99889	12.6
0.99958	36.2
0.99718	83.6
0.99961	15.9
0.99909	39.8
0.99642	99.5
0.99982	16.7
0.99859	44.3
0.99658	111.2
0.99975	18.8
