--------------------
BDMEP - INMET
--------------------
Estação           : MARINGA - PR (OMM: 83767)
Latitude  (graus) : -23.4
Longitude (graus) : -51.91
Altitude  (metros): 542.00
Estação Operante
Inicio de operação: 01/12/1953
Periodo solicitado dos dados: 10/05/2016 a 10/05/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;Umidade Relativa Media;Velocidade do Vento Media;
83767;10/05/2016;0000;;92.25;1;
83767;10/05/2016;1200;45.2;;;
83767;11/05/2016;0000;;88.5;1;
83767;11/05/2016;1200;0;;;
83767;12/05/2016;0000;;83.75;0.666667;
83767;12/05/2016;1200;0;;;
83767;13/05/2016;0000;;76.5;1.333333;
83767;13/05/2016;1200;0;;;
83767;14/05/2016;0000;;70.25;1.333333;
83767;14/05/2016;1200;12.4;;;
83767;15/05/2016;0000;;69.25;2.333333;
83767;15/05/2016;1200;0;;;
83767;16/05/2016;0000;;84.5;2;
83767;16/05/2016;1200;2.2;;;
83767;17/05/2016;0000;;70.25;1;
83767;17/05/2016;1200;0;;;
83767;18/05/2016;0000;;96.5;0.333333;
83767;18/05/2016;1200;7.5;;;
83767;19/05/2016;0000;;89;1.666667;
83767;19/05/2016;1200;5.7;;;
83767;20/05/2016;0000;;84.5;1;
83767;20/05/2016;1200;0;;;
83767;21/05/2016;0000;;93.75;0.34296;
83767;21/05/2016;1200;12;;;
83767;22/05/2016;0000;;96.75;1.333333;
83767;22/05/2016;1200;5;;;
83767;23/05/2016;0000;;72;1.333333;
83767;23/05/2016;1200;9.3;;;
83767;24/05/2016;0000;;68.5;2.333333;
83767;24/05/2016;1200;0;;;
83767;25/05/2016;0000;;69.5;1.333333;
83767;25/05/2016;1200;0;;;
83767;26/05/2016;0000;;75.25;2;
83767;26/05/2016;1200;0;;;
83767;27/05/2016;0000;;87.5;0.333333;
83767;27/05/2016;1200;3.9;;;
83767;28/05/2016;0000;;84.5;1.333333;
83767;28/05/2016;1200;0.1;;;
83767;29/05/2016;0000;;92;1;
83767;29/05/2016;1200;37.6;;;
83767;30/05/2016;0000;;98.75;1;
83767;30/05/2016;1200;12.2;;;
83767;31/05/2016;0000;;98.5;1.333333;
83767;31/05/2016;1200;5.1;;;
83767;01/06/2016;0000;;98;1.333333;
83767;01/06/2016;1200;4.5;;;
83767;02/06/2016;0000;;81.75;0.666667;
83767;02/06/2016;1200;10.3;;;
83767;03/06/2016;0000;;91.75;0.666667;
83767;03/06/2016;1200;0;;;
83767;04/06/2016;0000;;96.25;1;
83767;04/06/2016;1200;0;;;
83767;05/06/2016;0000;;99.75;0;
83767;05/06/2016;1200;25.4;;;
83767;06/06/2016;0000;;95.5;0.666667;
83767;06/06/2016;1200;17;;;
83767;07/06/2016;0000;;64.25;2.333333;
83767;07/06/2016;1200;19.8;;;
83767;08/06/2016;0000;;52;3;
83767;08/06/2016;1200;0;;;
83767;09/06/2016;0000;;56;1.333333;
83767;09/06/2016;1200;0;;;
83767;10/06/2016;0000;;47.5;1.666667;
83767;10/06/2016;1200;0;;;
83767;11/06/2016;0000;;44.75;1.333333;
83767;11/06/2016;1200;0;;;
83767;12/06/2016;0000;;46;1;
83767;12/06/2016;1200;0;;;
83767;13/06/2016;0000;;38.75;1;
83767;13/06/2016;1200;0;;;
83767;14/06/2016;0000;;62.5;1.666667;
83767;14/06/2016;1200;0;;;
83767;15/06/2016;0000;;63.75;1;
83767;15/06/2016;1200;0;;;
83767;16/06/2016;0000;;69;0.666667;
83767;16/06/2016;1200;0;;;
83767;17/06/2016;0000;;71;0.333333;
83767;17/06/2016;1200;0;;;
83767;18/06/2016;0000;;81.25;1.666667;
83767;18/06/2016;1200;0;;;
83767;19/06/2016;0000;;83.5;1;
83767;19/06/2016;1200;0;;;
83767;20/06/2016;0000;;84.25;1;
83767;20/06/2016;1200;0;;;
83767;21/06/2016;0000;;71.25;2.333333;
83767;21/06/2016;1200;0;;;
83767;22/06/2016;0000;;86;1.333333;
83767;22/06/2016;1200;0;;;
83767;23/06/2016;0000;;80.25;0.666667;
83767;23/06/2016;1200;1;;;
83767;24/06/2016;0000;;67.5;2;
83767;24/06/2016;1200;0;;;
83767;25/06/2016;0000;;54.5;2.333333;
83767;25/06/2016;1200;0;;;
83767;26/06/2016;0000;;66.75;1.666667;
83767;26/06/2016;1200;0;;;
83767;27/06/2016;0000;;63.75;1.333333;
83767;27/06/2016;1200;0;;;
83767;28/06/2016;0000;;60;1;
83767;28/06/2016;1200;0;;;
83767;29/06/2016;0000;;54.75;1;
83767;29/06/2016;1200;0;;;
83767;30/06/2016;0000;;59;1.333333;
83767;30/06/2016;1200;0;;;
83767;01/07/2016;0000;;58;1;
83767;01/07/2016;1200;0;;;
83767;02/07/2016;0000;;52.75;1.333333;
83767;02/07/2016;1200;0;;;
83767;03/07/2016;0000;;51;2;
