"estacao";"data";"umidade.relativa.media";"velocidade.do.vento.media";"precipitacao";"estacaoano"
83767;2016-05-10;92.25;1;45.2;"Outono"
83767;2016-05-11;88.5;1;0;"Outono"
83767;2016-05-12;83.75;0.666667;0;"Outono"
83767;2016-05-13;76.5;1.333333;0;"Outono"
83767;2016-05-14;70.25;1.333333;12.4;"Outono"
83767;2016-05-15;69.25;2.333333;0;"Outono"
83767;2016-05-16;84.5;2;2.2;"Outono"
83767;2016-05-17;70.25;1;0;"Outono"
83767;2016-05-18;96.5;0.333333;7.5;"Outono"
83767;2016-05-19;89;1.666667;5.7;"Outono"
83767;2016-05-20;84.5;1;0;"Outono"
83767;2016-05-21;93.75;0.34296;12;"Outono"
83767;2016-05-22;96.75;1.333333;5;"Outono"
83767;2016-05-23;72;1.333333;9.3;"Outono"
83767;2016-05-24;68.5;2.333333;0;"Outono"
83767;2016-05-25;69.5;1.333333;0;"Outono"
83767;2016-05-26;75.25;2;0;"Outono"
83767;2016-05-27;87.5;0.333333;3.9;"Outono"
83767;2016-05-28;84.5;1.333333;0.1;"Outono"
83767;2016-05-29;92;1;37.6;"Outono"
83767;2016-05-30;98.75;1;12.2;"Outono"
83767;2016-05-31;98.5;1.333333;5.1;"Outono"
83767;2016-06-01;98;1.333333;4.5;"Outono"
83767;2016-06-02;81.75;0.666667;10.3;"Outono"
83767;2016-06-03;91.75;0.666667;0;"Outono"
83767;2016-06-04;96.25;1;0;"Outono"
83767;2016-06-05;99.75;0;25.4;"Outono"
83767;2016-06-06;95.5;0.666667;17;"Outono"
83767;2016-06-07;64.25;2.333333;19.8;"Outono"
83767;2016-06-08;52;3;0;"Outono"
83767;2016-06-09;56;1.333333;0;"Outono"
83767;2016-06-10;47.5;1.666667;0;"Outono"
83767;2016-06-11;44.75;1.333333;0;"Outono"
83767;2016-06-12;46;1;0;"Outono"
83767;2016-06-13;38.75;1;0;"Outono"
83767;2016-06-14;62.5;1.666667;0;"Outono"
83767;2016-06-15;63.75;1;0;"Outono"
83767;2016-06-16;69;0.666667;0;"Outono"
83767;2016-06-17;71;0.333333;0;"Outono"
83767;2016-06-18;81.25;1.666667;0;"Outono"
83767;2016-06-19;83.5;1;0;"Outono"
83767;2016-06-20;84.25;1;0;"Outono"
83767;2016-06-21;71.25;2.333333;0;"Inverno"
83767;2016-06-22;86;1.333333;0;"Inverno"
83767;2016-06-23;80.25;0.666667;1;"Inverno"
83767;2016-06-24;67.5;2;0;"Inverno"
83767;2016-06-25;54.5;2.333333;0;"Inverno"
83767;2016-06-26;66.75;1.666667;0;"Inverno"
83767;2016-06-27;63.75;1.333333;0;"Inverno"
83767;2016-06-28;60;1;0;"Inverno"
83767;2016-06-29;54.75;1;0;"Inverno"
83767;2016-06-30;59;1.333333;0;"Inverno"
83767;2016-07-01;58;1;0;"Inverno"
83767;2016-07-02;52.75;1.333333;0;"Inverno"
83767;2016-07-03;51;2;0;"Inverno"
83767;2016-07-04;53.25;2;0;"Inverno"
83767;2016-07-05;55.25;2;0;"Inverno"
83767;2016-07-06;87;2.333333;0;"Inverno"
83767;2016-07-07;72.25;1;4.7;"Inverno"
83767;2016-07-08;53;1;0;"Inverno"
83767;2016-07-09;44.5;1.666667;0;"Inverno"
83767;2016-07-10;48;0.666667;0;"Inverno"
83767;2016-07-11;51.25;1.333333;0;"Inverno"
83767;2016-07-12;63.75;1.333333;0;"Inverno"
83767;2016-07-13;58.75;2;1.5;"Inverno"
83767;2016-07-14;49.25;1.666667;0;"Inverno"
83767;2016-07-15;72;0.666667;0;"Inverno"
83767;2016-07-16;78;3.333333;58.5;"Inverno"
83767;2016-07-17;61.25;2;0.1;"Inverno"
83767;2016-07-18;58.75;0.666667;0;"Inverno"
83767;2016-07-19;63;0.333333;0;"Inverno"
83767;2016-07-20;58;1;0;"Inverno"
83767;2016-07-21;62.25;0.666667;0;"Inverno"
83767;2016-07-22;66.25;1.333333;0;"Inverno"
83767;2016-07-23;62.5;1.666667;0;"Inverno"
83767;2016-07-24;54.5;1;0;"Inverno"
83767;2016-07-25;48;2;0;"Inverno"
83767;2016-07-26;48.75;1.666667;0;"Inverno"
83767;2016-07-27;43;2;0;"Inverno"
83767;2016-07-28;60.75;0.666667;0;"Inverno"
83767;2016-07-29;59.5;0.666667;0;"Inverno"
83767;2016-07-30;54.5;1.666667;0;"Inverno"
83767;2016-07-31;53.75;1.666667;0;"Inverno"
83767;2016-08-01;53.5;0.333333;0;"Inverno"
83767;2016-08-02;51;1.333333;0;"Inverno"
83767;2016-08-03;62.5;1.333333;0;"Inverno"
83767;2016-08-04;56;0.666667;0;"Inverno"
83767;2016-08-05;49;1.666667;0;"Inverno"
83767;2016-08-06;43.5;0.666667;0;"Inverno"
83767;2016-08-07;62.5;1.666667;0;"Inverno"
83767;2016-08-08;76.75;1.333333;0;"Inverno"
83767;2016-08-09;77.75;1.333333;15.5;"Inverno"
83767;2016-08-10;56.75;1.333333;0;"Inverno"
83767;2016-08-11;48;1.333333;0;"Inverno"
83767;2016-08-12;51.5;1.666667;0;"Inverno"
83767;2016-08-13;51.25;1;0;"Inverno"
83767;2016-08-14;45;0.666667;0;"Inverno"
83767;2016-08-15;86.75;3.666667;1.9;"Inverno"
83767;2016-08-16;70.25;0.666667;19.4;"Inverno"
83767;2016-08-17;63.5;2;0;"Inverno"
83767;2016-08-18;87.75;6.666667;0;"Inverno"
83767;2016-08-19;82.75;7;34.8;"Inverno"
83767;2016-08-20;92;2;11.7;"Inverno"
83767;2016-08-21;68;8.666667;40.3;"Inverno"
83767;2016-08-22;57.75;1.333333;0;"Inverno"
83767;2016-08-23;60.5;1.666667;0;"Inverno"
83767;2016-08-24;61.75;2;0;"Inverno"
83767;2016-08-25;57;2.333333;0;"Inverno"
83767;2016-08-26;50;1.333333;0;"Inverno"
83767;2016-08-27;40.75;1.333333;0;"Inverno"
83767;2016-08-28;36;1.333333;0;"Inverno"
